prio,ccaa_org,ano_examen,descripcion,slug_blog
1,SESCAM CLM,2026-03-15,OPE 2023/24 Parte 1 [VOLCADO],p/test-de-fisioterapeutas-opes-202324.html
2,SESCAM CLM,2026-03-15,OPE 2023/24 Parte 2,p/test-de-fisioterapeutas-opes-202324_0964609991.html
3,Red Sanitaria Militar,2026-05-09,OPE 2025 Libre Parte 1,p/test-de-fisioterapeutas-ope-2025-rsm.html
4,Red Sanitaria Militar,2026-05-09,OPE 2025 Libre Parte 2,p/test-de-fisioterapeutas-ope-2025-rsm_0865524419.html
5,SAS Andalucia,2025-05-17,OPEs 2022/23/24 Parte 1,p/test-de-fisioterapeutas-opes-20222324.html
6,SAS Andalucia,2025-05-17,OPEs 2022/23/24 Parte 2,p/test-de-fisioterapeutas-opes-20222324_3.html
7,SAS Andalucia,2025-05-17,OPEs 2022/23/24 Supuestos,p/test-de-fisioterapeutas-opes-20222324_5.html
8,SERMAS Madrid,2025-05-25,OPE 2020 Promocion Interna,p/test-de-fisioterapeutas-ope-2020-sermas.html
9,SCS Cantabria,2024-10-19,OPE 2022 Estabilizacion Parte 1,p/test-de-fisioterapeutas-ope_1.html
10,SCS Cantabria,2024-10-19,OPE 2022 Estabilizacion Parte 2,p/test-de-fisioterapeutas-ope_2.html
11,IB-Salut Baleares,2023-12-17,OPE 2022 + Estabilizacion,p/test-de-fisioterapeutas-ope-2022.html
12,SAS Andalucia,2023-10-21,OPE 2021 Estabilizacion Parte 1,p/test-de-fisioterapeutas-ope_7.html
13,SAS Andalucia,2023-10-21,OPE 2021 Estabilizacion Parte 2,p/test-de-fisioterapeutas-ope_9.html
14,SAS Andalucia,2023-10-21,OPE 2021 Estabilizacion Supuestos,p/test-de-fisioterapeutas-ope_10.html
15,Osakidetza,2022-07-02,OPEs 2018/19 Modelo A Parte 1,p/test-de-fisioterapeutas-opes-201819.html
16,Osakidetza,2022-07-02,OPEs 2018/19 Modelo A Parte 2,p/test-de-fisioterapeutas-opes-201819_2.html
17,SAS Andalucia,2021-11-14,OPEs 2018/19/20/21 Parte 1,p/test-de-fisioterapeutas-opes-2018192021.html
18,SAS Andalucia,2021-11-14,OPEs 2018/19/20/21 Parte 2,p/test-de-fisioterapeutas-opes-2018192021_28.html
19,SAS Andalucia,2021-11-14,OPEs 2018/19/20/21 Supuestos,p/test-de-fisioterapeutas-opes-2018192021_29.html
20,SCS Canarias,2019-05-21,OPEs 2016/17/18 Parte 1,p/test-de-fisioterapeuta-opes-20161718.html
